id,name,page
alpine-skiing,Alpine Skiing,https://www.olympic.org/pyeongchang-2018/alpine-skiing
biathlon,Biathlon,https://www.olympic.org/pyeongchang-2018/biathlon
bobsleigh,Bobsleigh,https://www.olympic.org/pyeongchang-2018/bobsleigh
cross-country-skiing,Cross Country Skiing,https://www.olympic.org/pyeongchang-2018/cross-country-skiing
curling,Curling,https://www.olympic.org/pyeongchang-2018/curling
figure-skating,Figure skating,https://www.olympic.org/pyeongchang-2018/figure-skating
freestyle-skiing,Freestyle Skiing,https://www.olympic.org/pyeongchang-2018/freestyle-skiing
ice-hockey,Ice Hockey,https://www.olympic.org/pyeongchang-2018/ice-hockey
luge,Luge,https://www.olympic.org/pyeongchang-2018/luge
nordic-combined,Nordic Combined,https://www.olympic.org/pyeongchang-2018/nordic-combined
short-track,Short Track,https://www.olympic.org/pyeongchang-2018/short-track
skeleton,Skeleton,https://www.olympic.org/pyeongchang-2018/skeleton
ski-jumping,Ski Jumping,https://www.olympic.org/pyeongchang-2018/ski-jumping
snowboard,Snowboard,https://www.olympic.org/pyeongchang-2018/snowboard
speed-skating,Speed skating,https://www.olympic.org/pyeongchang-2018/speed-skating
